filepath,label,car_damage_pct,human_damage_pct
acc2(side 2)_frames/frame_00020.jpg,no_accident,0.0,0.0
acc1(above)_frames/frame_00102.jpg,accident_sure,100.0,100.0
acc6(front)_frames/frame_00082.jpg,accident_sure,100.0,100.0
acc3(side)_frames/frame_00268.jpg,accident_sure,100.0,100.0
acc3(side)_frames/frame_00187.jpg,accident_sure,100.0,100.0
acc6(above)_frames/frame_00116.jpg,accident_sure,100.0,100.0
acc8(side_closer)_frames/frame_00617.jpg,accident_sure,100.0,100.0
acc7(sideways_close)_frames/frame_00288.jpg,accident_sure,100.0,100.0
acc4(side_closer)_frames/frame_00257.jpg,accident_sure,100.0,100.0
acc6(sideways 2)_frames/frame_00119.jpg,accident_sure,100.0,100.0
acc9(back)_frames/frame_00013.jpg,no_accident,0.0,0.0
acc2(above)_frames/frame_00029.jpg,accident_start,57.0,57.0
acc3(side close)_frames/frame_00027.jpg,accident_sure,100.0,100.0
acc6(above)_frames/frame_00011.jpg,no_accident,0.0,0.0
acc7(sideways_close)_frames/frame_00127.jpg,accident_sure,100.0,100.0
acc8(side)_frames/frame_00161.jpg,no_accident,0.0,0.0
acc2(front)_frames/frame_00099.jpg,accident_sure,100.0,100.0
acc6(sideways)_frames/frame_00120.jpg,accident_sure,100.0,100.0
acc6(sideways_close)_frames/frame_00194.jpg,no_accident,0.0,0.0
acc9(back)_frames/frame_00016.jpg,no_accident,0.0,0.0
acc4(front)_frames/frame_00241.jpg,accident_sure,100.0,100.0
acc7(sideways_close)_frames/frame_00273.jpg,accident_sure,100.0,100.0
acc4(above)_frames/frame_00075.jpg,accident_sure,100.0,100.0
acc9(side)_frames/frame_00076.jpg,accident_sure,100.0,100.0
acc4(side close)_frames/frame_00168.jpg,accident_sure,100.0,100.0
acc6(above)_frames/frame_00014.jpg,no_accident,0.0,0.0
acc1(above)_frames/frame_00113.jpg,accident_sure,100.0,100.0
acc2(sideways 2)_frames/frame_00011.jpg,no_accident,0.0,0.0
acc7(sideways)_frames/frame_00143.jpg,accident_sure,100.0,100.0
acc2(sideways)_frames/frame_00025.jpg,accident_start,42.4,42.4
acc4(side_closer)_frames/frame_00308.jpg,accident_sure,100.0,100.0
acc6(above)_frames/frame_00123.jpg,accident_sure,100.0,100.0
acc5(side_close)frames/frame_00210.jpg,accident_sure,100.0,100.0
acc4(above)_frames/frame_00083.jpg,accident_sure,100.0,100.0
acc9(side2)_frames/frame_00116.jpg,accident_sure,100.0,100.0
acc7(sideways_close)_frames/frame_00106.jpg,accident_sure,100.0,100.0
acc8(side_closer_behind)_frames/frame_00763.jpg,accident_sure,100.0,100.0
acc7(sideways)_frames/frame_00240.jpg,accident_sure,100.0,100.0
acc5(above)_frames/frame_00045.jpg,accident_sure,100.0,100.0
acc4(side_closer)_frames/frame_00194.jpg,accident_sure,100.0,100.0
acc8(side)_frames/frame_00313.jpg,accident_sure,100.0,100.0
acc6(sideways 2)_frames/frame_00148.jpg,accident_sure,100.0,100.0
acc6(sideways)_frames/frame_00401.jpg,accident_sure,100.0,100.0
acc2(sideways 2)_frames/frame_00091.jpg,accident_sure,100.0,100.0
acc5(side 2)_frames/frame_00009.jpg,no_accident,0.0,0.0
acc4(front)_frames/frame_00269.jpg,accident_sure,100.0,100.0
acc3(front)_frames/frame_00141.jpg,accident_sure,100.0,100.0
acc9(side)_frames/frame_00082.jpg,accident_sure,100.0,100.0
acc3(side above)_frames/frame_00119.jpg,accident_sure,100.0,100.0
acc6(sideways)_frames/frame_00372.jpg,accident_sure,100.0,100.0
acc5(side 2)_frames/frame_00038.jpg,accident_sure,100.0,100.0
acc5(side_close)frames/frame_00188.jpg,accident_sure,100.0,100.0
acc5(side 2)_frames/frame_00106.jpg,accident_sure,100.0,100.0
acc6(sideways)_frames/frame_00074.jpg,accident_sure,100.0,100.0
acc8(side_closer_behind)_frames/frame_00680.jpg,no_accident,0.0,0.0
acc5(above)_frames/frame_00025.jpg,accident_start,64.0,64.0
acc4(above)_frames/frame_00134.jpg,accident_sure,100.0,100.0
acc5(side_close)frames/frame_00081.jpg,no_accident,0.0,0.0
acc9(front)_frames/frame_00106.jpg,accident_sure,100.0,100.0
acc2(sideways 3)_frames/frame_00026.jpg,accident_start,1.0,1.0
acc9(side2)_frames/frame_00071.jpg,accident_sure,100.0,100.0
acc5(side)_frames/frame_00197.jpg,accident_sure,100.0,100.0
acc5(side)_frames/frame_00008.jpg,accident_start,34.0,34.0
acc6(sideways 2)_frames/frame_00190.jpg,accident_sure,100.0,100.0
acc3(front)_frames/frame_00139.jpg,accident_sure,100.0,100.0
acc8(side)_frames/frame_00137.jpg,no_accident,0.0,0.0
